WORD_ID,VOCAB_WORD,VOCAB_COUNT
0,http,10662
1,use,5017
2,list,4852
3,email,4370
4,get,4187
5,mail,3985
6,one,3905
7,free,3171
8,time,3090
9,work,2880
10,messag,2787
11,make,2777
12,like,2765
13,would,2746
14,peopl,2671
15,new,2667
16,inform,2662
17,receiv,2476
18,pleas,2177
19,click,2145
20,busi,2135
21,address,2133
22,want,2059
23,us,2015
24,need,2003
25,order,1992
26,remov,1965
27,also,1878
28,go,1856
29,year,1835
30,send,1831
31,money,1798
32,file,1791
33,compani,1762
34,system,1712
35,report,1692
36,way,1679
37,wrote,1666
38,name,1660
39,user,1642
40,look,1632
41,chang,1613
42,site,1613
43,day,1602
44,know,1598
45,state,1583
46,program,1567
47,may,1566
48,see,1543
49,call,1537
50,could,1532
51,group,1528
52,even,1499
53,think,1489
54,includ,1487
55,linux,1464
56,first,1456
57,offer,1447
58,take,1409
59,say,1407
60,right,1387
61,servic,1387
62,tri,1356
63,world,1356
64,help,1354
65,find,1341
66,internet,1334
67,market,1332
68,product,1301
69,mani,1270
70,much,1263
71,home,1242
72,said,1228
73,softwar,1226
74,web,1224
75,problem,1222
76,date,1211
77,line,1203
78,spam,1195
79,link,1189
80,check,1187
81,start,1187
82,number,1181
83,run,1171
84,good,1170
85,thing,1165
86,well,1114
87,subject,1104
88,interest,1077
89,phone,1068
90,govern,1067
91,person,1063
92,provid,1045
93,set,1039
94,today,1021
95,come,1017
96,million,1016
97,ad,1016
98,server,1015
99,give,1015
100,follow,1011
101,back,1008
102,best,1007
103,month,994
104,form,993
105,rate,985
106,everi,981
107,secur,974
108,gener,956
109,url,944
110,price,940
111,still,930
112,comput,925
113,packag,918
114,instal,906
115,code,898
116,sent,897
117,avail,897
118,life,891
119,version,888
120,commun,886
121,read,886
122,sinc,879
123,maintain,874
124,grant,874
125,sponsor,869
126,thank,867
127,network,861
128,two,851
129,differ,850
130,credit,845
131,without,843
132,made,835
133,develop,829
134,support,826
135,within,825
136,week,820
137,page,817
138,write,810
139,save,807
140,realli,800
141,case,800
142,subscript,800
143,irish,796
144,someth,794
145,current,793
146,un,790
147,last,788
148,anyon,788
149,onlin,778
150,complet,776
151,sure,774
152,build,767
153,card,767
154,seem,767
155,requir,765
156,custom,763
157,manag,763
158,de,750
159,ilug,746
160,never,744
161,better,743
162,window,742
163,keep,741
164,special,738
165,ca,736
166,point,736
167,place,735
168,search,734
169,per,721
170,anoth,720
171,found,715
172,actual,712
173,access,711
174,result,709
175,repli,706
176,contact,704
177,question,701
178,part,699
179,base,696
